eradicate,get rid of pull up by the roots
inclined,directing the mind in a certain direction
edify,instruct; correct morally
conjoin,to join together
antidote,medicine used against a poison or a disease
infuriate,fill with fury or rage
plea,request
calipers,metal supports attached to the legs measuring instrument
misanthrope,person who hates mankind
mesmerize,hypnotize
fleet,number of ships; quick-moving
apartheid,brutal racial discrimination
brass,yellow metal (mixing copper and zinc)
pest,destructive thing or a person who is nuisance
curriculum,course of study
tonic,something giving strength or energy
writ,written order
ambivalent,having both of two contrary meanings
combustion,process of burning
console,give comfort or sympathy to
dupe,cheat make a fool of
foster,nurture; care for
tractable,easily controlled or guided
defer,postpone
salvage,the saving of property from loss
clot,half-solid lump formed from liquid
extinct,no longer active
benefactor,person who has given help
hypocrisy,falsely making oneself appear to be good
retrograde,receding
livid,Furiously angry, enraged"
endorse,write one's name on the back of
turmoil,trouble disturbance
entice,attract, lure"
dwarf,person much smaller the usual size
auxiliary,helping; supporting
flop,fail/move/fall clumsily
spear,weapon with a metal point on a long shaft
ossified,turned to bone; hardened like bone; Inflexible
ail,to cause pain, uneasiness, or trouble to."
incongruous,out of place; not in harmony or agreement
opaqueness,dullness/not allowing light to pass through
alloy,to debase by mixing with something inferior
implosion,collapse; bursting inward
suffice,be enough
